timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1687752076610,464,HTTP Request UPDATE,200,OK,Thread Group 1-1,text,true,,729,237,2,2,https://reqres.in/api/users/2,464,0,0
1687752076697,463,HTTP Request UPDATE,200,OK,Thread Group 1-2,text,true,,741,237,2,2,https://reqres.in/api/users/2,463,0,0
1687752077075,423,HTTP Request UPDATE PATCH,200,OK,Thread Group 1-1,text,true,,729,239,2,2,https://reqres.in/api/users/2,423,0,0
1687752077160,405,HTTP Request UPDATE PATCH,200,OK,Thread Group 1-2,text,true,,739,239,2,2,https://reqres.in/api/users/2,405,0,0
1687752077498,414,HTTP Request DELETE,204,No Content,Thread Group 1-1,,true,,612,208,2,2,https://reqres.in/api/users/2,0,0,0
1687752077566,419,HTTP Request DELETE,204,No Content,Thread Group 1-2,,true,,620,208,2,2,https://reqres.in/api/users/2,0,0,0
1687752077912,447,HTTP Request REGISTER - SUCCESSFUL,200,OK,Thread Group 1-1,text,true,,695,250,2,2,https://reqres.in/api/register,447,0,0
1687752077985,416,HTTP Request REGISTER - SUCCESSFUL,200,OK,Thread Group 1-2,text,true,,691,250,2,2,https://reqres.in/api/register,416,0,0
1687752078359,391,HTTP Request REGISTER - UNSUCCESSFUL,400,Bad Request,Thread Group 1-1,text,false,,688,227,2,2,https://reqres.in/api/register,391,0,0
1687752078402,413,HTTP Request REGISTER - UNSUCCESSFUL,400,Bad Request,Thread Group 1-2,text,false,,700,227,2,2,https://reqres.in/api/register,413,0,0
1687752078750,411,HTTP Request LOGIN - SUCCESSFUL,200,OK,Thread Group 1-1,text,true,,684,251,2,2,https://reqres.in/api/login,411,0,0
1687752078816,435,HTTP Request LOGIN - SUCCESSFUL,200,OK,Thread Group 1-2,text,true,,682,251,2,2,https://reqres.in/api/login,435,0,0
1687752079161,411,HTTP Request LOGIN - UNSUCCESSFUL,400,Bad Request,Thread Group 1-1,text,false,,690,225,2,2,https://reqres.in/api/login,411,0,0
1687752079251,423,HTTP Request LOGIN - UNSUCCESSFUL,400,Bad Request,Thread Group 1-2,text,false,,692,225,2,2,https://reqres.in/api/login,423,0,0
1687752079573,3471,HTTP Request DELAYED RESPONSE,200,OK,Thread Group 1-1,text,true,,1657,128,2,2,https://reqres.in/api/users?delay=3,3471,0,0
1687752083045,28,HTTP Request LIST USERS,200,OK,Thread Group 1-1,text,true,,1748,127,2,2,https://reqres.in/api/users?page=2,27,0,0
1687752079674,3421,HTTP Request DELAYED RESPONSE,200,OK,Thread Group 1-2,text,true,,1661,128,2,2,https://reqres.in/api/users?delay=3,3421,0,0
1687752083074,27,HTTP Request SINGLE USER,200,OK,Thread Group 1-1,text,true,,993,122,2,2,https://reqres.in/api/users/2,27,0,0
1687752083095,24,HTTP Request LIST USERS,200,OK,Thread Group 1-2,text,true,,1746,127,2,2,https://reqres.in/api/users?page=2,24,0,0
1687752083101,25,HTTP Request SINGLE USER NOT FOUND,404,Not Found,Thread Group 1-1,text,false,,692,123,2,2,https://reqres.in/api/users/23,25,0,0
1687752083120,21,HTTP Request SINGLE USER,200,OK,Thread Group 1-2,text,true,,991,122,2,2,https://reqres.in/api/users/2,21,0,0
1687752083126,27,HTTP Request LIST <RESOURCE>,200,OK,Thread Group 1-1,text,true,,1421,122,2,2,https://reqres.in/api/unknown,26,0,0
1687752083141,23,HTTP Request SINGLE USER NOT FOUND,404,Not Found,Thread Group 1-2,text,false,,704,123,2,2,https://reqres.in/api/users/23,23,0,0
1687752083153,30,HTTP Request SINGLE <RESOURCE>,200,OK,Thread Group 1-1,text,true,,949,124,2,2,https://reqres.in/api/unknown/2,30,0,0
1687752083164,24,HTTP Request LIST <RESOURCE>,200,OK,Thread Group 1-2,text,true,,1421,122,2,2,https://reqres.in/api/unknown,24,0,0
1687752083183,25,HTTP Request SINGLE <RESOURCE> NOT FOUND,404,Not Found,Thread Group 1-1,text,false,,690,125,2,2,https://reqres.in/api/unknown/23,25,0,0
1687752083188,38,HTTP Request SINGLE <RESOURCE>,200,OK,Thread Group 1-2,text,true,,945,124,2,2,https://reqres.in/api/unknown/2,38,0,0
1687752083226,23,HTTP Request SINGLE <RESOURCE> NOT FOUND,404,Not Found,Thread Group 1-2,text,false,,698,125,2,2,https://reqres.in/api/unknown/23,23,0,0
1687752083208,448,HTTP Request CREATE,201,Created,Thread Group 1-1,text,true,,754,229,2,2,https://reqres.in/api/users,448,0,0
1687752083249,470,HTTP Request CREATE,201,Created,Thread Group 1-2,text,true,,750,229,2,2,https://reqres.in/api/users,470,0,0
1687752083656,450,HTTP Request UPDATE,200,OK,Thread Group 1-1,text,true,,733,237,2,2,https://reqres.in/api/users/2,449,0,0
1687752083719,430,HTTP Request UPDATE,200,OK,Thread Group 1-2,text,true,,737,237,2,2,https://reqres.in/api/users/2,430,0,0
1687752084149,410,HTTP Request UPDATE PATCH,200,OK,Thread Group 1-2,text,true,,733,239,2,2,https://reqres.in/api/users/2,410,0,0
1687752084106,457,HTTP Request UPDATE PATCH,200,OK,Thread Group 1-1,text,true,,739,239,2,2,https://reqres.in/api/users/2,457,0,0
1687752084559,418,HTTP Request DELETE,204,No Content,Thread Group 1-2,,true,,610,208,2,2,https://reqres.in/api/users/2,0,0,0
1687752084564,433,HTTP Request DELETE,204,No Content,Thread Group 1-1,,true,,612,208,2,2,https://reqres.in/api/users/2,0,0,0
1687752084977,437,HTTP Request REGISTER - SUCCESSFUL,200,OK,Thread Group 1-2,text,true,,701,250,2,2,https://reqres.in/api/register,437,0,0
1687752084997,444,HTTP Request REGISTER - SUCCESSFUL,200,OK,Thread Group 1-1,text,true,,693,250,2,2,https://reqres.in/api/register,444,0,0
1687752085415,426,HTTP Request REGISTER - UNSUCCESSFUL,400,Bad Request,Thread Group 1-2,text,false,,698,227,2,2,https://reqres.in/api/register,426,0,0
1687752085442,433,HTTP Request REGISTER - UNSUCCESSFUL,400,Bad Request,Thread Group 1-1,text,false,,694,227,2,2,https://reqres.in/api/register,433,0,0
1687752085842,395,HTTP Request LOGIN - SUCCESSFUL,200,OK,Thread Group 1-2,text,true,,694,251,2,2,https://reqres.in/api/login,395,0,0
1687752085876,464,HTTP Request LOGIN - SUCCESSFUL,200,OK,Thread Group 1-1,text,true,,682,251,2,2,https://reqres.in/api/login,464,0,0
1687752086238,454,HTTP Request LOGIN - UNSUCCESSFUL,400,Bad Request,Thread Group 1-2,text,false,,700,225,2,2,https://reqres.in/api/login,454,0,0
1687752086340,418,HTTP Request LOGIN - UNSUCCESSFUL,400,Bad Request,Thread Group 1-1,text,false,,696,225,2,2,https://reqres.in/api/login,418,0,0
1687752086692,3436,HTTP Request DELAYED RESPONSE,200,OK,Thread Group 1-2,text,true,,1655,128,2,2,https://reqres.in/api/users?delay=3,3436,0,0
1687752090130,27,HTTP Request LIST USERS,200,OK,Thread Group 1-2,text,true,,1745,127,2,2,https://reqres.in/api/users?page=2,27,0,0
1687752090158,21,HTTP Request SINGLE USER,200,OK,Thread Group 1-2,text,true,,998,122,2,2,https://reqres.in/api/users/2,21,0,0
